我昨天在电视上看到的啦，以前的人要是身体哪里不好，就吃其他动物的那个部分吔。	所以呢？
背后交给你了！	明白了，我会支援的！
咯咯，贝聂贝涅终究只是仰赖自己种族能力的弱者！	以剑士来说，他的身躯确实是得天独厚！只要将我等阿托菲亲卫队引以为豪的黑铠包裹那副身躯，也不难理解他会过于相信自己实力！老实说很羡慕！
但是，铠甲遭到拆解，居然还没有提防魔术师！	那家伙才是我等四天王中最蠢的人！
是公主的房间！	公主的房间……？换句话说，是阿托菲大人的女儿的房间吗？
那么，这个房间是……	你的房间！
跟我的兴趣不太符合耶。	咯咯咯，别以为勇者会来救你！因为你要一辈子在这里生活！
你似乎感到很混乱……	是的。
好啦，该从哪里开始说明才好呢？	可以的话，麻烦从头说明。
阿托菲大人是在第一次人魔大战正要结束时出生的。	哦，阿托菲大人也是有父母的啊。
巴迪大人是由聪明的母亲，而阿托菲大人则是由她的父亲不死的涅克罗斯拉克罗斯大人所扶养长大。	不死的涅克罗斯拉克罗斯大人，在当时以最强魔王的身分支配魔大陆。
因此，我要询问鲁迪乌斯先生一个问题。	是。
所谓的魔王，是什么样的存在？在人族之间，是以什么方式传承？	我想想……
是压倒性强大的存在，对人族而言是天敌，还有，偶尔会掳走公主……啊。	就是这样。
涅克罗斯拉克罗斯陛下去世后，不明白伟大的魔王究竟是什么的阿托菲大人，向人族请益，让他们收集文献。	这种讲法，听起来简直就像阿托菲阅览了许多文献。
收集到的文献当中，有各种关于魔王的记述。而被称为伟大魔王的存在，都有共通之处。	共通之处……那是？
你不觉得奇怪吗？	因为我当时也尚未出生，而那时的部下对人族应该也几乎是一无所知。况且就算是当时魔族这边的文献也留着那类资料。上面提到某位魔王掳走公主，被勇者亚尔斯打倒……当然，这并非不死魔族所留下的文献。
原来如此，原来阿托菲大人的个性之所以会那么凶暴，是有理由的。	不，那是与生俱来。
不过，从这段故事听来，我之所以会被带到这里是因为？	因为你自称公主。
得怪我自作自受吗……	就算是开玩笑，也不应该说出那句话。
所以，艾莉丝她们现在怎么样了？	魔王必须展示自己的强大，而勇者需要接受试练。
意思是？	一般来说，若要与阿托菲大人战斗，就必须打倒我等亲卫队。所以目前正让艾莉丝小姐与洛琪希小姐，与我等之中最醒目的笨蛋……说错了，精挑细选的精锐战斗。
那么，虽然很不好意思，我先告辞了。必须去支援艾莉丝她们才行。	且慢。
你不须如此慌张。虽说阿托菲大人向来都是认真的，但我等属下在如今这个世道，并不乐见有人因此丧命。就算败北，想来也顶多是失去一条手臂。	啊，是这样吗？
那么，我可以稍微去加个油吗？	可以。因为受到公主声援，勇者的实力也会增加。
艾莉丝，请振作点，艾莉丝！	没……没办法……这种的……我实在……
看样子，勇者殿下被『火之亚尔坎托』的使魔打倒了。	使魔？
是的，『火之亚尔坎托』会先放出使魔试探对手。这群使魔相当棘手，牠们会闻出强者的味道，若对方是弱者就会发动袭击，咬烂四肢将其五马分尸。	怎么会……那艾莉丝呢！
唔……真卑鄙，这就是传说中北神流奇诡派的做法吗？	什么！谁是奇诡派！别把我和那群家伙混为一谈！我只是想要测试你们的实力！
谁知道呢！	哼，算了……虽然被认为是奇诡派很令人不悦，但看来你们的勇者对我的使魔束手无策！是弱者！
剩下的就只有你这个魔术师……如何？只要投降我就放过你。我家代代流传着一句话，要温柔对待米格路德族。	要……要是我退缩，还有谁能解救鲁迪！
鲁迪乌斯先生……	不是，可是我也没办法啊。
是说，我可以下去吗？还是说，得先与守护囚禁公主房间的龙战斗？	虽然是不错的提案，但要把龙捉来颇有难度……既然这次公主也像这样现身，也已经加入战局。含糊带过就行了吧。
那么，我就失礼了。	是。祝你旗开得胜。我也必须稍做准备。
啊，鲁迪……你不要紧吧？	嗯，我这边只是单纯的闹剧。你们那边呢？
像以往那样，只要鲁迪揉胸就会弹起来了吧？	咦，这样好吗？
虽然是很有魅力的提案，不过这样，我不是会挨揍失去意识吗？就算艾莉丝清醒但我却睡着，岂不是没意义吗？	啊──……的确。
刚才的呢！	已经不在了。
因为我这边是闹剧，所以立刻处理好了。	太好了。不过得怪鲁迪乌斯不好！就算是开玩笑，也不该说自己是公主！
行遍魔大陆，进击涅克罗斯要塞，终于抵达了这里！	我就承认吧！你正是……你们正是真正的勇者！
事先声明，光之太刀对我不管用。	……
……	喂，说点话啊。
不对，曾经有过像你这样，集中所有神经，使出最精湛一击的家伙……	……
如何？艾莉丝•格雷拉特，这是你一生一世的大赌注。你会在信任的伙伴面前，露出难堪的模样……或者是得到名誉呢？	……
不过，我会砍下你的脖子。	说得好！艾莉丝•格雷拉特！好啦，来吧！
接下来我们也得上吗？	不是啦，肯定赢不了吧。
你看地板。黑曜钢铁整个凹进去了耶？	铠甲也没有意义了嘛。那是什么魔术啊……
之前与阿托菲大人战斗时，那家伙用过威力惊人的岩砲弹。大概是那个。	喔喔，原来如此。所以是连射岩砲弹吗？
我现在就去拿替换的铠甲。	哼！
不，因为我在人魔大战时还没……	这样啊，是这样没错。
那是你做的吗？	是。
哈哈哈哈哈，很好！	干掉他──！
啊──哈哈哈哈哈！很强嘛！不愧是勇者的伙伴！下一个是谁！谁上？	决斗吧！魔王阿托菲！你给我下来！
鲁迪乌斯先生……鲁迪乌斯先生！	啊，失礼。
嗯咳，详细状况我了解了。搜索人神与其使徒基斯，并将其杀害，以及在战争时提供援助。搜索奇希莉卡大人、设置谍报组织、与魔神拉普拉斯战斗时提供援助。大致上是这样没错吧？	是的。
前两项是无所谓，但后面两项，尤其是与魔神拉普拉斯战斗时提供援助这点，实在没办法答应。	果然没办法吗？像是要对拉普拉斯讲情面之类……？
因为阿托菲大人是败给你个人。只要你一死，这个约定也会自然失效。或者说，八十年后你依然在世吗？	……应该很难呢。
支援佣兵团这点也很困难。	是因为有地盘意识的缘故吗？
尽管阿托菲大人统治着这一带，但支配的只有亲卫队。要建立其他组织是没问题，但无法一一关照。	……了解。
关于搜寻奇希莉卡大人这部分，就将附有阿托菲大人签名的书信送给各地魔王吧。如果只是寻人，想必各位魔王也愿意出手相助。	麻烦你了。
并不麻烦，要送的人是鲁迪乌斯先生。因为我们不清楚转移魔法阵的详细位置。	啊，好的。
奇希莉卡大人若没有特殊理由也不会四处逃窜，想必立刻就能找到。	我希望能尽快找到她。
真不知道那个人为什么老是到处晃来晃去呢。	不清楚，我难以了解古老魔族的想法。
不过鲁迪乌斯先生，你真的变强了。和以前碰面时相较之下，简直判若两人。	是魔导铠的力量。
你太谦虚了。	这并不是谦虚。尽管我得到了足以压倒阿托菲大人的实力，但我本身的实力并没有惊人的成长。
仅仅一击就让阿托菲大人认同你的实力，决定投入你的旗下，自初代北神卡尔曼大人后，你还是第一个人。	我认为自己尚未达到列强水准。
可是，阿托菲大人还有我等亲卫队，也尚未施展北神流的剑术。请别认为她与你交手时已经拿出真本事。	我会铭记于心。
差不多也该过去了呢。到时若要联络，再麻烦你用刚才设置的石板。	好的。不过在那之前──
阿托菲大人吩咐，要我把这个转交给你。	……这是？
那么，我们走吧。	好的。
不知道岳父他过得好吗？	谁知道呢……
洛……洛琪希，那位，和那个孩子是？	是我的丈夫，还有小孩。
……	……
妈妈，爸爸在吗？	呃……在啊。我刚刚叫他了。因为他在村长家……我想立刻就会回来。
那么鲁迪，我们走吧。	嗯。
不知道有没有储备粮食……	不了，我们马上就会回去，不用费心。
不，因为我们也有许多事情得忙。	这样啊……
我叫鲁迪乌斯•格雷拉特。其实以前我们曾见过一次……	是这样吗……？
是的。大约在十年前，瑞杰路德曾带我来过。	你认识瑞杰路德•斯佩路迪亚？不过，他待在这个村子是在……
难道你是瑞杰路德启程时跟他在一起的，那个人族小孩？	是，就是我。
哎呀……！真怀念！原来你长得这么大了。虽说只经过十年又一些时日，但就算是人族，长得这么大，也算是独当一面的男子汉了吧？	是的。我认为自己已经能独当一面，虽然还有许多不成熟的地方……
迟迟未能向您报告，不过，我已经和令千金结婚。	……啊，好的。那个，选这孩子可以吗？
那个，洛琪希作为一个人族的妻子，有确实做好分内的职责吗？人族与魔族之间也会有摩擦吧？她没有给你添麻烦吗？	与其说她是否尽责，正确来说，我才总是受到洛琪希帮助。在我家最可靠的就是洛琪希。
是这样啊……可是……	妈妈，麻烦你别再问这么害羞的事情。
这样啊……嗯……可是我果然还是很担心。因为你从以前就冷淡、沉默又不客气……	我明白自己的缺点。不过，我也像这样好好生下了孩子，做好身为妻子应尽的责任。
鲁迪乌斯先生，是真的吗？	是的。最起码，我绝对不会讨厌洛琪希。我对神明发誓。
不过话说回来，洛琪希嫁人了啊……从小就会在空无一物的地方跌倒，哭得唏哩哗啦的那个洛琪希……	请别在鲁迪面前讲这种话。
是吗，你叫菈菈啊？能好好说出自己的名字，真是聪明。	咦？
……我的孩子难道已经会使用心电感应了？	咦？是啊。虽然说起话来还结结巴巴，但能明白表达出意思。
你们不知道吗？	……因为我家没有人会使用心电感应。
不管怎么说，我原本以为她成长速度有些缓慢，所以稍微松了口气。	因为她还小，只能用脑袋说话，再过一阵子，自然就能用嘴巴说话了吧。
你们现在的感觉，肯定和我们生下洛琪希时相同吧。	意思是？
也就是说，菈菈和洛琪希一模一样对吧。	哈哈哈，是啊。一模一样。尤其是眼睛特别相像。
你还醒着吗？	呼啊──嘶──
虽然我一直隐瞒到现在……但是，每当我看到菈菈与塞妮丝小姐彼此对视，就会考虑到这个可能性。	我倒是完全没想到会是这么一回事。
我在这个村子出生。自懂事之后，就一直带着疏远感成长。	……
把菈菈，寄养在爸爸和妈妈这边，如何？	……咦？
直到十岁或十五岁为止，等她成长到一定程度之前，先在米格路德族的村子，作为米格路德族生活是不是比较好？之后再让她自己决定要离开村子，或者是留在村子生活是不是比较好，我是这样想的。	……
那么，路上小心。	你们其实可以再悠哉地待一阵子啊……
好啦，菈菈，跟爷爷和奶奶道别吧。	……
她说不要和妈妈分开。	……！
洛琪希，你下次什么时候会回来？	我想想，等菈菈长大之后……我想过个十年就会再来一趟。
好啦，鲁迪，又要开始忙了。	是。
老公！你不快点吃我就没办法收盘子了！	喔喔，对不起。我吃就是，啊呣啊呣。
记得青椒也别剩下喔！	咦咦？青椒也要吗？我不喜欢吃青椒啦。
叭噗──	哎呀，诺伦真是的，刚刚才喂过奶，这么快就肚子饿啦？真拿你没办法──
耶～妈妈，谢谢你～	不行！小孩子只能说婴语！
汪汪！	真是的，爱夏也肚子饿了吗？真拿你没办法，来，吃饭吧，要对大家保密喔！
汪呼──！	等吃饱饱以后，再和诺伦陪你一起玩！
汪呼汪呼，汪呜──	叭噗──……！
耶～爸爸也要爸爸也要～	不行！爸爸不会做那种事！
呜呜，爸爸被嫌弃了……	不是的！因为爸爸是很了不起的人，就算很少回家，也不会去抱小婴儿，但我还是很爱你的！这也是没办法的！
不是，我只是稍微跟妈妈讲个话而已。	……不要。
我马上就回来了。在那之前，先让姐姐们陪你玩吧。	……嗯。
我记得，你应该，马上就要过去剑之圣地一趟对吧？	嗯，要看准备状况如何，大约再两到三天……
你大概要去多久？	我不知道，但应该有十到三十天吧。毕竟我还得去那附近露个脸。
这样啊……嗯，那么，果然来不及赶回来呢。	……什么来不及？
这次要生的时候，鲁迪不会在家吧？	不，我会待在家里。
可是……鲁迪。	我会在的。
……谢谢你，鲁迪。我最爱你了。	我也爱你。
爸爸，怎么了吗？肚子痛吗？	没有，只是我做了让妈妈心痛的事。
露西，我觉得妈妈现在应该是认为，就算我跟她说对不起，也只是会让她心痛。	可是，爸爸不会再弄痛妈妈了吧？
不会，我是这样想的。	那妈妈也会原谅你的！
要用治愈魔术吗？	不，没那个必要。
……恭喜你。是个男孩子。	……
不要紧，不要紧的，谢谢你。	……鲁迪……对不起。
咦？	鲁迪！请你让开！
哥哥，来，襁褓。	喔……喔喔。
你看起来并不像商人啊？	我正在找人。不过那家伙好像不住在这一带……
这是什么？	是情报费。你不知道吗？
不过是一点情报，我没有理由收钱。	那么，就当作友好的证明。很稀奇吧？那可是米里斯铜币喔。
既然你这样说，那我也只能回：『我以为像你这样的男人，对景色根本没兴趣』。	若我说不是呢？
我就会问：『那你为什么待在这种地方？』。	可是，我不一定会回答你。对吧？
那个霸主在贝卡利特大陆来回打转，不知道平常会待在哪里。不过听说每几百年会有一次，出现在这座高台附近。	而那几百年一次的机会，就在今天是吗？
基本上，那只不过是传说而已。就连所谓的霸主是否真的存在也不得而知。	那么，你为什么要坐在这种地方？
至少霸主在几百年前曾经经过这里一次。从那之后过了几百年，一直到今天为止，恐怕都没经过。那么，不就有可能会是今天吗？既然昨天和前天都没经过，那么几百年后，指的或许就是今天。对吧？	……说得没错。
不过，你为什么要狩猎霸主？难道父母被他杀了吗？	嗯，算是吧。
少骗人了。	哈哈，居然说我骗人啊，哈哈哈，不过，确实是骗人的。
所以，是为什么？	嗯。你曾经想过要超越伟大的人吗？
嗯，想过几次。	我希望自己总有一天超越伟大的人物，成为前无古人，后无来者的英雄。
要成为那个未来的超级英雄所需的仪式，就是在这种偏僻地方狩猎霸主吗？	并不是那样。只是该怎么说，虽说要超越伟大的存在，但是证明自己超越的依据是什么，这就是问题所在吧？
那当然是跟那个伟大的存在直接对决，打赢他不就得了吗？	嗯。你说的确实也有道理。不过，我认为并不是这样。
哦？	毕竟人有所谓的全盛期，而且战斗也与状况及运气有关。就算打赢了，要是被人说『只是运气好才赢的』或是『反正是用了偷袭的手段吧？』，也等于徒劳无功。
……	我不打算否定仰赖运气或是偷袭所带来的胜利。可是，世人并不这样认为。有人认同伟大，才称得上真正伟大。
那么，该怎么做才能让别人认为你很伟大？	很简单。只要和伟大的人做同样的事情就好。对吧？
所以，你才要打倒霸主？	没错。打倒霸主……打倒贝卡利特大陆最为庞大的贝西摩斯。
那么，我也告诉你我来这里的理由吧。	哎呀？你并非一般旅人？
你不觉得不可思议吗？不是商人，甚至也没跟人组队，像我一样的贫弱冒险者，为什么会来到这种地方。	唔嗯。意思是你……
牠并不是霸主。	这样啊。
不过谢谢你。我能讨伐贝西摩斯都要归功于你。	不客气。
不是啦，该怎么说，你啊，想成为英雄对吧？成为超越伟大存在的英雄。	与其说我想，不如说我会。
既然这样，照现在这样应该不行吧？	不行是指？
现在的你，只是想直接模仿伟大的存在曾做过的事情吧？像是讨伐龙，或是讨伐贝西摩斯。	是的，因为最起码得先办到相同的事，否则根本沾不上边。
不过你仔细想想，这样没办法当上英雄吧？	嗯，确实是……
嗯。是恶魔的种族吧。在拉普拉斯战役时，他们不分敌我到处杀戮。不过，我记得应该已经灭绝了才对。	其实还有幸存者。
在哪？	哦，先冷静点。把话听到最后。其实，有比斯佩路德族更邪恶的家伙。
……更邪恶的家伙。	嗯，这家伙就像是这世上万恶的根源。我想你至少也有听过名字。
……	七大列强第二位『龙神』奥尔斯帝德。
那家伙将斯佩路德族纳为属下，隐藏行踪。	……龙神并非邪恶的人物。他是打倒魔神拉普拉斯的英雄之一。不如说，他与斯佩路德族应该是处于敌对关系。
那是指好几代以前的龙神吧？既然改朝换代，新任龙神也有可能是个傻子。我有说错吗？	嗯……是这样没错。
这部分，你就不一样。你反而打算超越上一代。非常有出息。	……
杀死斯佩路德族的幸存者，打倒奥尔斯帝德。这样一来，你将会成为名垂千古，流芳万世的英雄。而且还是以七大列强第二位的名号。	……
是啊。不过，我倒是完美猜到了贝西摩斯的所在处。	可是牠并不是霸主。
那也没办法啊。因为霸主要再过八十年才会来这里。	哦，这个情报不错。那我八十年后再来吧。
知道了。那么，奥尔斯帝德在哪？	要告诉你也行，不过有个条件。
我接受。	喂喂，我还没说啊。你答应得也太快了吧？
像你这样的小人物，不可能会没有任何条件，就给别人他想要的东西。	没错。
还有一件事，我雇主想杀死的对象，是奥尔斯帝德的部下。与斯佩路德族不同。要是想见到奥尔斯帝德，这个人势必会成为阻碍。所以，我的条件就是要顺便干掉他。	你的雇主？
你没在梦里见过吗？像是有很莫名其妙的家伙给你建议。	喔喔，总觉得以前好像曾作过那种梦……你跟随那种家伙吗？
所以，你决定如何？Yes？No？	当然是Yes。
虽然我不喜欢杀害没有任何罪过的对象，但俗话说牺牲小我完成大我。	是吗？
那么，事情就是这样。你尽可能早点来啊。	知道了。那我现在就动身吧。
欢迎回来，您这次回来得很快呢。	是啊，我也觉得自己很优秀。
不，并没有发生什么不好的事，请您放心。	啊，好的。
那是怎么了？	……她们要我向鲁迪乌斯老爷保密。
在练习跳舞，最近鲁迪也会去各国的王宫，出席舞会之类吧？艾莉丝虽然也会以护卫身分一起过去，可是她说要是有跳舞的机会，说不定会让鲁迪丢脸。	就算艾莉丝不会跳舞，我也不会觉得有什么好丢脸啊。
呵呵。她是这样说的。	那么为了以防万一，我也得好好练习，才能跟上你的舞步。
果然还是有钱人比较好呢。最好要长得帅，可是又不谙世事，也不习惯应付女人。要是跟他握一下手，就会满脸通红的那种。	我只要普通的就行了。就算没什么钱也不要紧，只要是个温柔的普通人就好。
安洁真是没梦想！	法姆才应该要认清现实啦。
哎呀，小杜不会选我当老婆吧。	毕竟法姆从以前就很爱欺负小杜嘛。
不对，他搞不好会为了报复以前的事情指名我喔。说要趁晚上欺负回去之类的！	才不会啦，小杜到现在都还很怕法姆喔。
不过，安洁有机会喔。毕竟你很可爱。	咦？才没有啦。因为我们村子不是只剩下我一个药剂师吗？要是结婚的话就没办法继续做下去。大家会很困扰的。
对喔……不对，可是啊，搞不好他会为了答谢这次的事而娶你呢。	啊哈哈，要是能那样就好了。
安洁，小心点，从这里开始就是那家伙的地盘了。	嗯，我知道。
我们必须救小杜才行呢。	嗯。
你好。你是安洁莉可•卡莲特堤尔小姐……没错吧？	嘿？
不管怎样，幸好我有赶上。真是千钧一发呢。	是……是的……！
那……那个，鲁迪乌斯先生！	是，怎么了吗？
法……法姆！法姆她，不……不会很重吗？	我没问题的。
可……可是，你从刚才开始就一直走路，不会觉得累吗？	不会，毕竟我平常有在锻炼，不会因为这种程度喊累。
啊，对耶。不好意思，我没有注意到。	咦？
…………啊，没……没错！我有点累了！不好意思，请让我休息一下。然后，请你务必叫人家……哎呀不对啦，请务必叫我安洁就好！	我明白了，安洁小姐，那么，就在那……
不……不好意思！我……我还很害怕！因……因为我还在怕，可以让我坐在旁边吗！	咦？啊，好的……请坐。
那……那个，真的非常谢谢你。	不会，因为这是工作。
那个，鲁迪乌斯先生。	有……有什么事吗？
就算是工作，我还是真的很感谢你救了我一命。	不……不客气。
如果之后回到村里，你没有要马上回去的话，还请来我家一趟。我想答谢你……	不，我马上就回去。因为之后还有工作……
那……那个……鲁迪乌斯、先生？	失礼了，因为我的老毛病好像快发作了，必须服药才行。
那……那个！如果得吃药的话，我是药剂师，只要回到家应该就能帮你调合！	不用了，我有把自己平日服用的带来。
……是内服药吗？	呃，嗯，类似那样的东西。
……？……咦？	呼…………
那么，安洁小姐，你有什么事吗？	呃…………不，没事。
因为我不打算绕去村子逗留，就在此告别了。	是……是……辛苦你了……是……
呃，那个……就……就是，我觉得，内裤之类的会有点困扰……	不是，我不需要那种东西。其实是有件事想要请你帮忙。
安洁小姐，如果你生下了小孩，还麻烦你念这本绘本给他听。跟他说斯佩路德族并不是什么恶魔。	咦？斯佩？你说什么？
斯佩路德族。	斯佩路德族……
我回来了～	啊，是哥哥的声音！欢迎回来～欢迎回来哥哥～！你妹妹现在有点忙不过来，但是有跟你说欢迎回家喔～！
我回来了，希露菲……这次也很累呢。	辛苦你了。
喂～露西。	不要～
不可以喔，那种事情晚点再做。	好～
洛琪希和菈菈呢？	洛琪希在学校。菈菈在客厅喔。
菈菈，我回来了。	啊～呜。
没关系，不管发生什么事，只要我们一家人好好支持她就好了。	我也是那样打算，但是洛琪希可能会觉得自己要负起责任喔。
艾莉丝呢？	啊──
她今天早上，和爱夏起了一点争执。	咦？怎么，她们吵架了吗？
好吧，那我去看一下。	嗯。
艾莉丝姐──！因为我们家已经有雷欧、次郎还有比特了啊！	我知道嘛！
啊！哥哥。你听我说啦！就是艾莉丝姐啊，好像捡了猫咪回来，从早上就喵喵叫的吵死人了啦。	猫……
我觉得要养也没关系啊。	真的？
只不过家里还有婴儿，我也不太常回家，所以你要好好照顾它喔。	我知道啦！那当然啊！
对不起喔，爱夏。	没关系，反正哥哥都答应她了嘛。
对不起啦～我下次再找机会补偿你嘛	唉，真拿哥哥没办法……
好啦，艾莉丝，把门打开吧。	嗯。
啊啊！老大，好久不见了喵！得救了喵！这份大恩我一辈子都不会忘记喵！	她是我今天早上在散步途中捡到的！名字叫莉妮亚！
拿去扔掉。	不要！
问得好喵。回想起来话实在是漫长又艰辛，可谓闻者伤心，言者潸然……	麻烦你长话短说。
该怎么办才好呢……	老大，求你帮帮我喵，我什么都愿意做的喵……我不想当奴隶喵……
莉妮亚……我问你……	请说喵。
你被上了吗？	喵！
鲁迪乌斯！你在问什么啦！	对呀，鲁迪，我觉得刚才那样问有点不体贴喔。
别讲这种失礼的话喵！我还是货真价实的处女喵！他们说这样价值会更高，所以没对我出手喵！	是吗，太好了。
我们的奴隶在这里对吧？我们可是清楚得很喔。	我不太清楚您指的是什么意思，还请各位离开这里。
别这么说嘛……在这个镇上能把人砍成两半的红发孕妇，以及白色大狗的组合，可不做他想呢。	艾莉丝夫人确实是个不分青红皂白就动粗的人。或许正如您所说没错，但是这里并没有奴隶。还请各位离开。
大哥，为什么啊？平常的话……	你傻了吗！这位女仆可是那个鲁迪乌斯•格雷拉特的奶妈，也是他同父异母妹妹的母亲啊！你有胆就碰她一根寒毛试试，到时你就等着整个家族都被赶尽杀绝吧！
那，大哥为什么要把我们带来啊……	这个嘛，是以防那个不能沟通的『狂剑王』突然杀出来时可以充当我的挡箭牌……
……莉莉雅小姐，接着由我来处理吧。	明白了，少爷。
小的是瑞姆商会旗下，巴尔巴立德商店的员工，专门处理纠纷，名叫金邱。	初次见面，我是鲁迪乌斯•格雷拉特。
这个嘛，鲁迪乌斯先生，其实前阵子，我们有一只奴隶逃了出去。	哦，请问是什么样的奴隶？
然后呢，我们的人虽然追到了那个奴隶，但却被全灭了。而且啊，还是所有人都被漂亮地砍成两半呢。	哦？
不过，关于这件事就算了。毕竟小的们也是在干这种工作。处在这种打打杀杀的世界，出现伤亡什么的本来就是家常便饭。更何况对方还是那个七大列强第二位的『龙神』的属下，而且还是下任阿斯拉王的知己……您说是吧？	能听到你这么说就再好不过了。
只是，那个……鲁迪乌斯先生。	是。
怎么说，就是那个奴隶啊，在价钱这方面呢，稍微贵了一点。	……毕竟你说是最顶级的奴隶嘛。
如果是随处可见的奴隶，也是可以直接献给您，顺便请您关照一下本店。嘿嘿，偏偏那个奴隶啊，没办法轻易地让您说带走就带走呢。而且也已经找好买家了。	那个买家，是不是叫『伯──斯•格──特』的？
因为能卖到这么高价的奴隶可说是万中无一，所以我们也实在是没有办法就这么忍气吞声呢。	嗯，可以理解。
这样您清楚了吧。我们这边也是逼不得已，当初也是花了不少钱买来的……	……
您的妹妹和其中一位太太，都在魔法大学上课对吧。要是哪天治安变得不好的话……	你这家伙……打算对诺伦和洛琪希出手吗？
啊……啊～当我没说，当我没说。当然了。当然了，我们并不打算和鲁迪乌斯先生敌对。Love & Piece。小的想和您保持良好的关系。	我也是这样想。所以才会像这样和你交谈。
我懂了。	您明白了吗？
…………莉莉雅小姐。	是，请问老爷有何吩咐。
麻烦你去我房间，看金库里有多少就拿多少过来。	……谨遵吩咐。
这是魔石。只要带去适切的地方兑换，光是那一小袋应该就能换到大约五百枚阿斯拉金币吧。	咦？啊？
你们该不会不只抓了泰德路迪亚，连亚德路迪亚的公主也在你们手上吧？因为那两个人总是会一起行动。	咦？没……没有，奴隶就只有那一只而已。
是这样啊……那我就用这些买下莉妮亚。	咦咦！这些？三袋？
不……不用，这……这样，这样就够了！	哎呀，别这么说嘛。因为我最近经常会不在家。要是有人趁我没看到的时候，危害我的家人……如果真有这种事可令人受不了呢。你明白吧？
我希望今后也能跟你们保持良好的关系。比方说，刚刚提到的亚德路迪亚族女孩要是成为了奴隶，或者说有个万一，我的妹妹和女儿变成奴隶的时候。希望你们能够稍微通融一下，如何？	是……是，那是当然，当然会通融的。
我……我知道了！卖您！很够了。我不打算与您为敌，拜托不要再威胁我了。	多谢。
我会向伯雷亚斯写一封亲笔信，麻烦你过几天再连收据一起拿走吧。	啊啊，实……实在……太感谢了。
少爷。	莉莉雅小姐……
太精彩了。	谢谢你。
莉妮亚，你接受这样吗？	呜呜，既然都被救了也不好意思要求喵……希望能够永远爱护我喵……
那么鲁迪，我要往这边走喽。	好的，洛琪希。你今天也要加油喔。
鲁迪也是──	啊──洛琪希老师和男人在一起！
那会不会是洛琪希老师的老公？	咦？那就是那个传说中的？诺伦学姐的哥哥？
这是在强调鲁迪是我的。	……
不……不行吗？	……
怎……怎么了？突然就……在这种地方……	是路上小心的吻。
──伦耶……	那就是魔法大学着名的──
真小只啊，我记得她还未成年吧？	肯定还没尝过男人的滋味。
谢谢你，吉尔巴托。	不会。
学长，那家伙很夸张耶。	真假？他看不起小诺伦？真假？
……啊，嗯，呃。鲁迪乌斯应该，没什么了不起吧？可是，诺伦她，很努力喔。	哈。
所以，你只要跟着我就行了。会让你体验到许多好处。	……呃。
喔喔，你不是米吗……！	啊！好久不见了啊，雷！
那么，今年的特别生就只有我们两人吗？	不，你说错了。
原来如此，你有自己的苦衷啊。我也是因为发生了许多事而被村子赶出来，也就是说我们三个人是很相像的同伴。	我可不是因为什么特别的理由才被赶出来的……只是因为三子没办法继承家业，所以我才干脆离开的……
没关系，我很清楚。不管是谁总是会有不想说的心事。想必你也听说了那个传闻吧？	你也是吗……！
总之，既然都是特别生，就让我们互相帮助吧。只要我们同心协力，要站在这所学校的顶点也不是梦……对吧？	啊……
那个不是莉妮亚学姐吗？	谁？
那个啊，前年的首席。	听说是不良学生的那个……？
嗨，老大。	嗯，你来做什么？
……	……
喂，她怎么会在啊……不是听说回去大森林了吗？	我也是这样听说啊……
不，你应该认错人了。	何……何况我们也不叫那个名字。
不……不是的，没有这回事……！我们只是听到传言，说你已经回大森林了，所以还以为是别人。	普……普露塞娜小姐不在旁边的时候，莉妮亚小姐真的很美，一瞬间还看不出来是谁……所以那个，请饶了我们……
喂，来这里了耶。	为什么……
呃，不自觉就……	害我吓到摔了一跤耶……啊啊真是的，丢脸死了啦……
呃，嗯，演说很棒喔。相当出色。想必父亲也从天上──	我不是在问你这件事！
你为什么会在这种地方霸凌新生啊！	咦？
你都对这些孩子做了什么啊！	没……没有……只是，他们稍微说了一些诺伦的坏话……
我对这种事情已经很习惯了，请不要这样！哥哥没看到他们这么害怕吗！	呃，他们怕的是莉妮亚喔。
话说回来，我听说了喔，哥哥！	什么？听谁说？
可是，莉妮亚学姐已经是毕业生了，请不要在学校里面制造问题！	怎么说是问题喵，我只是稍微跟以前认识的熟人打声招呼而已喵……
哥哥也是。虽然我很高兴你想要保护我，但麻烦你不要过度反应。我自己的事情可以自己解决的。	是，我会铭记在心。
竟然让那个鲁迪乌斯低头了耶！	真不愧是学生会会长。
呃，那他们是？	我听说是特别生。
我……我是阿斯拉王国第一王子的二子，格兰涅尔•札芬恩•阿斯拉……	感谢你如此有礼数。想必格兰涅尔大人待在不习惯的异国土地也有诸多不便。相信您有可能会因为境遇而被人说三道四，但请不用过度在意。要是有什么不安，还请来学生会一趟。不论是在怎样的环境下成长，既然来到魔法大学，我们学生会就会站在学生这一边。不管遭遇何种境遇，为了让各位能放心地努力学习，学生会将全力从旁进行支援。
啊，好的。	那么，祝各位度过美好的学校生活……
我想他和爱丽儿大人不同，身分类似人质，请跟他好好相处吧。明明还那么年幼，不应该被卷入父亲的纷争之中。	也对。算了……我会尽量叮咛他们别对你的妹妹出手。
抱歉啊。	不会不会。
克莱夫最近怎样？	很健康地长大。不过到了晚上会哭，实在很费事……让我想起在养护院的时候。
